id,name,type,industry,Industry and number
IP_fe9ff6eae16b4b0aea1527212031e0ce2578c1b48a9055598478176cb0f19c8f,154.85.xxx.xxx,IP,  ,"[['  ', 16], ['B', 11], ['A', 2]]"
IP_f60c8d33e53709f2ab2fcad91c3f9682fad4bd00d0a35182d69c9283579f501a,23.225.xxx.xxx,IP,  ,"[['A', 3], ['  ', 2]]"
IP_c29a79d3445cde4f334277eb200132004aa249d79e109f507cc43c885919c2f8,45.38.xxx.xxx,IP,  ,"[['  ', 3], ['A', 3]]"
IP_c1f5ad21039c3a89a0377b5718d875da55c694114fc76a1b0186438fb4031b55,172.252.xxx.xxx,IP,  ,"[['B', 5], ['  ', 1]]"
IP_81748d319e34ebfd0b866fa4de6d930a91ddbba4ec347e1ed18050a0a7ee8c0a,107.186.xxx.xxx,IP,  ,"[['A', 31], ['  ', 2]]"
Cert_6d69681aa1362802e8325e1ff1e41ae5df40272849b4e18d683a323720af116c,6d69681aa1,Cert,  ,"[['  ', 4], ['B', 2]]"
IP_7cd6fd9aa699df7a7f8f0e0019aa6dc2b2f9fe92579647d99b7d81b2cccd73cf,156.229.xxx.xxx,IP,  ,"[['  ', 1], ['A', 1]]"
IP_333577664d5da536e52763e838e6fde993b3fac374e903a9ff54480301fa5f72,107.163.xxx.xxx,IP,  ,"[['A', 4], ['  ', 3]]"
IP_223977e952b3e0b2379da3c6e38a2c6bd70fdbb68bdd3280cf6b0f1e33752565,107.149.xxx.xxx,IP,  ,"[['A', 7], ['  ', 1]]"
IP_4a81e7bf529b80a2ac4352fc8c398d66db510ef421ea37d54f47cb6be915a725,45.194.xxx.xxx,IP,  ,"[['A', 3], ['  ', 3]]"
IP_d1cb45ac9d9da9274a4d77723b77dec4d13a93dfd2e0c1d0b3c781a7090df8b3,45.203.xxx.xxx,IP,  ,"[['A', 2], ['  ', 2]]"
IP_dbc104ee2fa99400494b02bec2313717ce6aa8d2121f5f359a93466b78462cdf,154.23.xxx.xxx,IP,  ,"[['  ', 2], ['A', 1]]"
IP_1a481790c31f1f27a57acf215d8070e9cd585edc41ddc06caaa70e6be8e0740f,154.81.xxx.xxx,IP,  ,"[['  ', 4], ['A', 4]]"
IP_2c7176829d37180e2adabdac286e9dfd76d4f3f7af4874e3ef544efcb52fc24d,45.89.xxx.xxx,IP,  ,"[['A', 2]]"
IP_28ad9749aa4e0bb8096e16861e805dd5c88f34afc1739e0b8536e6483f2b0a6f,45.207.xxx.xxx,IP,  ,"[['  ', 2], ['A', 2]]"
IP_88f5e80e51f29cb0694dee26a88bd8a08e16ad843e02c20097e4506106010648,164.155.xxx.xxx,IP,  ,"[['  ', 2], ['B', 1]]"
IP_06d2405687ccc698aecd67c80b18a97353d4098b4482744e5632dcfc5d852670,154.90.xxx.xxx,IP,  ,"[['A', 4], ['  ', 4]]"
IP_3506bd82962a46df83ab98cef0c2c36916dcf822f6490e73f3176ebeb14315a7,172.121.xxx.xxx,IP,  ,"[['A', 1], ['  ', 1]]"
IP_6fac4a6c3ed061713df19b9ae9390066eebad7cf32d751b74dfc5f32d97f7108,107.148.xxx.xxx,IP,  ,"[['A', 3]]"
IP_8409ae755f987639cad42a574434d0a9bf869580bbe7dfaa57916b1b8552a9a8,147.255.xxx.xxx,IP,  ,"[['  ', 1], ['A', 1]]"
IP_51669b06aa86be7383ee35410aded8d0668b66c5153c532480f05f154c0e8c0c,142.91.xxx.xxx,IP,  ,"[['B', 6], ['A', 1], ['  ', 1]]"
IP_3909511b3e66487e6f616aa4b80f39357b66cddd6068b407201588fc9a452ea5,142.234.xxx.xxx,IP,  ,"[['  ', 7], ['A', 2], ['B', 5]]"
IP_abbde18562f9e5f93d0ff2607102bdc5d246bbe96c1765b03b2ccce99f8523be,156.249.xxx.xxx,IP,  ,"[['A', 2], ['  ', 1]]"
IP_713a541ab2ac5200f32a288a08327b8529ddffe1ee3ea7335fdfd8d9584af416,142.234.xxx.xxx,IP,  ,"[['B', 3], ['A', 4], ['  ', 1]]"
IP_21706b436142cef085cfad35cb27f06b80db326fe7b4b21fb85ed739508a1df3,142.234.xxx.xxx,IP,  ,"[['A', 3], ['  ', 3], ['B', 5]]"
