weight,relation,attr_dict
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_69a6c3267c06a2ba0acad1b62116dac0a0b0290625970034ae3de3347e901455', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_455f28db4fc5e56f09ff58f97ce7d08e60a5918289ee840975cf1e9d15c1172a', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_455f28db4fc5e56f09ff58f97ce7d08e60a5918289ee840975cf1e9d15c1172a', 'target': 'Domain_5721cbf739d3f84b95b21dff48ad39ffa7e7b5cae9d1124b1d691f3e8847a81a'}"
4,r_cert,"{'relation': 'r_cert', 'source': 'Domain_08cddabf461316cf5d46911428177077c3ed1521404a2ce597866d460418a310', 'target': 'Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff'}"
4,r_cert,"{'relation': 'r_cert', 'source': 'Domain_557888f637872bea550b8e30f687b8b899bd5ea66f0a717ce687fdf5686d5c60', 'target': 'Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_557888f637872bea550b8e30f687b8b899bd5ea66f0a717ce687fdf5686d5c60', 'target': 'Domain_fcce0ba00cd6f1af5e2a641349e75fb600fddd476a1fb0f8178ab3469e18574a'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_159fc7cd914987784de121fe4330ea8bb197c89ca2456444a3f3e3a4833a1b60', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_dns_a,"{'relation': 'r_dns_a', 'source': 'Domain_e671a4ce90603bfe7fd065e49af7d1728e188036733abf8c114723f9be124ce5', 'target': 'IP_e22b4388723c2809c1e5712c1da0c4270f2e409b11c4f01ee75caf1e342b05c6'}"
4,r_cert,"{'relation': 'r_cert', 'source': 'Domain_edbcb63bbe0d97e1fef501495b346284be245c02b1c0df22da72dea648f13ffc', 'target': 'Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_edbcb63bbe0d97e1fef501495b346284be245c02b1c0df22da72dea648f13ffc', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_cert,"{'relation': 'r_cert', 'source': 'Domain_c48842d2c78e1b768912c754886caf85dd04ac76a7119f29b5d9cf105c941bb8', 'target': 'Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_e19fbd11c7d175cd3123622162ccec7d036430d348f4167f492f86b3a4b4b1a8', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_e19fbd11c7d175cd3123622162ccec7d036430d348f4167f492f86b3a4b4b1a8', 'target': 'Domain_c334cf827fed203857707c2c967a34bcd57ab8a0fbcc32d37c470fd196efbc0b'}"
4,r_cert,"{'relation': 'r_cert', 'source': 'Domain_5509a486d43446a3434f0d72d3305fade6bc7bbdec705b1a400a778786120c29', 'target': 'Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff'}"
4,r_cert,"{'relation': 'r_cert', 'source': 'Domain_beda3a25f34bab171cad24a0cd91c62e6e54fa84d4a8a8050653219655607289', 'target': 'Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_beda3a25f34bab171cad24a0cd91c62e6e54fa84d4a8a8050653219655607289', 'target': 'Domain_b7b245851dbf52f7929b74ce0c7d691d368fbc996964e695c2f85bbee314a0ee'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_a818d7bd328c657fde665bcd099062300615d82ff3f49f963acb05c01cef4397', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_a818d7bd328c657fde665bcd099062300615d82ff3f49f963acb05c01cef4397', 'target': 'Domain_33abf8bc7d705827fd6214031ca948bafa384ab0f90832dc71cf66c012926416'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_181054ae211d8a55a76ddfce12c60bcc8ea9b0e1df39d070bdd9ca4edfa7cf7c', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_259e54fd0ecec3d1adcbcbbee63398c00ec02a188157335166ac06714935b4f6', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_cert,"{'relation': 'r_cert', 'source': 'Domain_31fc74657aad0ae13753ee82beef5b3d8e7a1eabdf28e4487b8f3d4bc433b6e1', 'target': 'Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_31fc74657aad0ae13753ee82beef5b3d8e7a1eabdf28e4487b8f3d4bc433b6e1', 'target': 'Domain_d0e76fa418e0099749ee46934e1a5a627c91ea3cf4e343c26cd791d5ff51bc3a'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_3f6c25993c14cf21a7ad267466639fcd15bbd53408fe74fac140a6e851835d7c', 'target': 'Domain_483a36eba25d622cbaaa8a9bdc8a278e57fad3538912f9b1c3e9241f03b04816'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_1d4b5bce32b7cb9ba324b6b464b422ce937a88d7198e5605f53154fe40d476fd', 'target': 'Domain_c32bb05f70913e23217d89eb65aff9288be9d9060eae990e4fa18c89c1eefe13'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_a98918b0669592e8d7322be172f60900574a055d2a144f71360ffd5946925977', 'target': 'Domain_75e25dbf08f38ea6f47e2c56135599f8bbb4b8365685bc16e556a77e6ab80132'}"
4,r_cert,"{'relation': 'r_cert', 'source': 'Domain_997826b7ac775d81c92505bf82786df8a33313eb2aa4cdb152581c929c6913cf', 'target': 'Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff'}"
4,r_cert,"{'relation': 'r_cert', 'source': 'Domain_bf4eabca780e0b775ae03037601a43540acccdccde247f5ffa68c0faf458e600', 'target': 'Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_bf4eabca780e0b775ae03037601a43540acccdccde247f5ffa68c0faf458e600', 'target': 'Domain_ea8c3762a2c1203a586383bbbd1a63527ed50a22c041c5f2090551bec4ce42ee'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_230233c5c0d4f05d868362cd28bae81294bcabdec7594a661d2e7efb7084e675', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_b7b245851dbf52f7929b74ce0c7d691d368fbc996964e695c2f85bbee314a0ee', 'target': 'Domain_beda3a25f34bab171cad24a0cd91c62e6e54fa84d4a8a8050653219655607289'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_842be1ff0a5929b79686ceb9b6e9300afaac9f42278185921efcddec5d7cdced', 'target': 'Domain_d431c1ccefec912ecf2585cd9a87db7605f25ac386606c111fc2f4253844e1d9'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_db539388ebf79d8196d2156501df13d74302088b1ffb1d90505fb9119e7d702a', 'target': 'Domain_e912a74539edcb99d676ebbe9dd7b8e968644cfc7ebd224427d1107cb8e98cae'}"
4,r_cert,"{'relation': 'r_cert', 'source': 'Domain_fa221c6b280eaa1ec10b0cfdb76791f2c7b4c58c6e45bed094467cbf3850eb4b', 'target': 'Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_fa221c6b280eaa1ec10b0cfdb76791f2c7b4c58c6e45bed094467cbf3850eb4b', 'target': 'Domain_049d9b5f7a3331dec405cf94034208e17239dd7fdc633b49100a1be44382e17d'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_5cb8fa18f867494911abad46707e9a51e502853ce7d661880a8515a286a6a903', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_40c5ea60d04075dee771e32c9a42c290dcae49502c268552835063c937073af1', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_28d4802b8e96702f5470056adb30ea87048981e879d06cea38b8b68f6db20462', 'target': 'Domain_c2141fc2ec1839ed77796980f0df671ceb93e8013c223998dd67a98b0013352d'}"
4,r_cert,"{'relation': 'r_cert', 'source': 'Domain_eb1e105098519da5118649e4f287fbaae98801d115c4541dedc3734fa5cb2704', 'target': 'Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_cdf19281f13ffeeb4d8c362d21606171fa7f4d54839bd56563dc029617b2a8d0', 'target': 'Domain_df0884d9266c0050f28b623f5b85b56616e564d924884a46ee9c86d1ce13a732'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_d4e634765901e712370f8b3141a783d26a58703d670b44a432e7044835a55bb1', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_cert,"{'relation': 'r_cert', 'source': 'Domain_98303f1b6c3332ff76c0d0d5b7da7e7fff1be875fe15a4937417f28292cdbe46', 'target': 'Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_98303f1b6c3332ff76c0d0d5b7da7e7fff1be875fe15a4937417f28292cdbe46', 'target': 'Domain_9f0588b497ed13a0e399c06c974092b762e3bcaf981c72b72cd5c4bbb355eed9'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_d55f498a271b16374390d1f981fd0074920b36a7a65ba517675893a88bf9e88b', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_cert,"{'relation': 'r_cert', 'source': 'Domain_0cf85529eaf32af19dc0afb1c950a611697c375cb5b3436b59458a9b837ac88e', 'target': 'Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_0cf85529eaf32af19dc0afb1c950a611697c375cb5b3436b59458a9b837ac88e', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_3bf5d333ac1ea518cb6b1968dc58186bdba216254ced9126bf8afcd558d37086', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_bfdb27e24733b510967d77c8f096f408df81457976bd7c12cfc5c6244dd3d81d', 'target': 'Domain_737d66f9f332c2df62d1e43dc4dc8eabba4d76f4b982d94677e1b9553842c21d'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_884b3f2e0ade976223acc43f80683b7fc437109b00a75a29d2d861c101790075', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_884b3f2e0ade976223acc43f80683b7fc437109b00a75a29d2d861c101790075', 'target': 'Domain_542a179d1640c1fec81b542aea036718307f00be16e9adcdbe7e071134060825'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_e04a9443d2135892cacec9321cf56a83e37c5df392f25bf1939e62edd15bc819', 'target': 'Domain_a92653b760b6dd69b8fb2bd182558469b5299c0b5e3459fc824a1cd3579544a9'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_3bf7aa352cbbc0454ce9c1905e1552238a78670a42ab21c970799f665f5b9832', 'target': 'Domain_c142daeec513050c95cc22c21c20cae1c514f96e983fc134f93c5f57fdaa779d'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_175c39800930758ed63689ce47ec117a8fa6e3cccac41b0b4bdcfee38d7d19c3', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_175c39800930758ed63689ce47ec117a8fa6e3cccac41b0b4bdcfee38d7d19c3', 'target': 'Domain_230233c5c0d4f05d868362cd28bae81294bcabdec7594a661d2e7efb7084e675'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_293b67b07e90f36f86f3f660c450fbac231d3eaed4f515f21a8ddfb302c91d7c', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_293b67b07e90f36f86f3f660c450fbac231d3eaed4f515f21a8ddfb302c91d7c', 'target': 'Domain_929af8c3b95402a98529e124a6330a5885d7bfc4709db74bbe8f6659598f5a48'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_df329e3ee12e4908cc309d6791ff987ad2c937c34880042b7d6e1ba901f25d8e', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_df329e3ee12e4908cc309d6791ff987ad2c937c34880042b7d6e1ba901f25d8e', 'target': 'Domain_4313b719eff1603cb05508163bcfda4901afe0c3dd40462cdee74875bb8aa721'}"
4,r_cert,"{'relation': 'r_cert', 'source': 'Domain_f3c3795ac98419838081ace95b814a2518f900583231fb8b4b0434b934dd9903', 'target': 'Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_ebce372b4feaae559eea7c224f10bdfaf2d440e40f30b3808d21cf52e2f42596', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_ebce372b4feaae559eea7c224f10bdfaf2d440e40f30b3808d21cf52e2f42596', 'target': 'Domain_2053f0e7d3061006cee28cf9160c12d2cc4d6c6e7d7d8feda990dfa0f9f37436'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_9b0887b33da347129952bb1c3470c41323424663af638a5d137f1cbe6e04e532', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_08363bfedb7bacad889c366499f8fa14fcb39d645a36c44ace2d39fd32c4821c', 'target': 'Domain_970a6396b9d06a941052342b805fe38eb9f5626cd8e379d6f569375651e85ed9'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_c29ce943ba8c2d7c8dc2e85c3d68284d7f0f19d36161a3e05a8f3fab5956d615', 'target': 'Domain_d239f511a6dc5d65d954dfff5c782fe9fc993a89e242036070bc5c3dd25cc429'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_211c57bcbd6e8fd88b099ae883aa44c078f4a8a7da4adbe49f3edc36660ebc44', 'target': 'Domain_74460820aa4821cfed75ccfa4fa71a26d0ab6c57dd88ad64b49f34d7d8ed3cdd'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_0d291e2c83354b0d181116e6ea74b5c347d9629c5d6b5f5669ca514698c3734e', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_0d291e2c83354b0d181116e6ea74b5c347d9629c5d6b5f5669ca514698c3734e', 'target': 'Domain_b71d8604ace6b47052f3ae7ac190b63f35e53ff952914ebfdd7f3b92aeb0f344'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_e5a34831e7e79f711909a1599cce9112d16e021b3be4d35add55d79bd3294940', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_e5a34831e7e79f711909a1599cce9112d16e021b3be4d35add55d79bd3294940', 'target': 'Domain_37dcbcb5e2d2620812196a8609ae580e95a8443ec9b219e746374ebeba410a95'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_6596ba51dc86e7aa71e56682b01e8bab24806bc3121d175e4abdc0a300ff3a77', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_6596ba51dc86e7aa71e56682b01e8bab24806bc3121d175e4abdc0a300ff3a77', 'target': 'Domain_0750579b4d4e8b77f6595632aaaed5c810f1b25acdcfd84c4a1a68ff216c0d3f'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_313090fea85a74d703e342453d90b968a04015b8b4653ac04a4c9c6a003c42f9', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_313090fea85a74d703e342453d90b968a04015b8b4653ac04a4c9c6a003c42f9', 'target': 'Domain_d5b6f33a7211528a70aa086b1e12fbb4ef6072be6a9b78f61ce17d21c1115043'}"
4,r_cert,"{'relation': 'r_cert', 'source': 'Domain_473503f70cb3f7eb0146b0e85724594a7c17e69203596f7149fcac8f09b9de78', 'target': 'Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_473503f70cb3f7eb0146b0e85724594a7c17e69203596f7149fcac8f09b9de78', 'target': 'Domain_e93d1557c8be6836546fb100c110dc5f9cc9d5b8ced6e8a5abaa64180bc80fb2'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_ef8f73d7f6a61cfc4ef53d0e75bf194a892e33bac1bd8b22d4ec92b23de3e056', 'target': 'Domain_28d043d7a87ea550ea24e362d4636490689df17733f8971172d392ba48fe37f2'}"
4,r_dns_a,"{'relation': 'r_dns_a', 'source': 'Domain_a0cc0d5d26b187d4640cc941f303bb096c4eb5be7cb9ca2a26dea1287de1020f', 'target': 'IP_be80f8d9f371531e2c6985006ff21d2bd9b60abe5472669788bca40431aaefc0'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_990dd764ad4d23b83c3304dcb0b75b1abcd89ec6049a2ce80db7b700059efc66', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_990dd764ad4d23b83c3304dcb0b75b1abcd89ec6049a2ce80db7b700059efc66', 'target': 'Domain_61e0c03d4acab59a7ddfd903865ee6ea4f523b5a1a162c9765cc540d097982c8'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_e593311b5112e9559154bb35577fe96c533aef2c1e19a316cc9acb891011b48f', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_c03c8ee1193819520b1a13363ad88c0c8f178e9c59c64db9769f9669c2a5610b', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_11d28d08af640ba8b7c54ac8a5dd5449254f9fc20ed99ad7c4826b2ab4d9e07e', 'target': 'Domain_67e8a3bb5a4619589065e3bf5610cd25f2b0b9e0de66d9d8a09fbb4624c18987'}"
4,r_cert,"{'relation': 'r_cert', 'source': 'Domain_de036f7986361cad84a67fd17e43b1fa634cad5f491e181b6aa720a67808662d', 'target': 'Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_de036f7986361cad84a67fd17e43b1fa634cad5f491e181b6aa720a67808662d', 'target': 'Domain_0cf85529eaf32af19dc0afb1c950a611697c375cb5b3436b59458a9b837ac88e'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_de036f7986361cad84a67fd17e43b1fa634cad5f491e181b6aa720a67808662d', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_0a4624362b1afba018a614a8a07c7335618c72deca79d60ae8fb4d444a36f749', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_0a4624362b1afba018a614a8a07c7335618c72deca79d60ae8fb4d444a36f749', 'target': 'Domain_9b0887b33da347129952bb1c3470c41323424663af638a5d137f1cbe6e04e532'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_24c80c7e649dfac01d1f7db619ee67dee82f66f91e5508c1b43c7f93d1eb626b', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_06bb335907571bc453a9d5084accbbd7581c38e6fcab078228666585ce18a314', 'target': 'Domain_f75f7726393678a405d3864576a910baba4a457b26e649a79065ab4e35a5192b'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_e7598fb15300000e1147723bef445220ce154fb8aff4a84424e36cc321a339c4', 'target': 'Domain_737d66f9f332c2df62d1e43dc4dc8eabba4d76f4b982d94677e1b9553842c21d'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_d7f5884ee2b75802534f687e0689db04df0914397bd52263dfe75d10b8dbb759', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
4,r_cert,"{'relation': 'r_cert', 'source': 'Domain_a92653b760b6dd69b8fb2bd182558469b5299c0b5e3459fc824a1cd3579544a9', 'target': 'Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_a92653b760b6dd69b8fb2bd182558469b5299c0b5e3459fc824a1cd3579544a9', 'target': 'Domain_e04a9443d2135892cacec9321cf56a83e37c5df392f25bf1939e62edd15bc819'}"
4,r_cert,"{'relation': 'r_cert', 'source': 'Domain_f75f7726393678a405d3864576a910baba4a457b26e649a79065ab4e35a5192b', 'target': 'Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff'}"
4,r_cert,"{'relation': 'r_cert', 'source': 'Domain_be02475eeb5ae86fa9dcf3950c91fb3b794958f96a4f166c5d5524907f35a916', 'target': 'Cert_87646b0f3e6fe83ef4e8b49f90848f9e0a5f635c15ff10f98132cf1637e961ff'}"
4,r_subdomain,"{'relation': 'r_subdomain', 'source': 'Domain_be02475eeb5ae86fa9dcf3950c91fb3b794958f96a4f166c5d5524907f35a916', 'target': 'Domain_e0eb7c4dd99da5140f7e73b5e898c85cc576d13f994fcc1aace4d234b67fc12d'}"
2,r_cname,"{'relation': 'r_cname', 'source': 'Domain_051fad50c4dcbb931409fe26a2d94c86b9c766cd421992ac05c6bf0300163ea3', 'target': 'Domain_649de7fe565b7626972a62113bfcbe999d20e178d89d9c4f4b3fdf0de69d6aee'}"
